S00076-Cien Palos;-76.52474015951157,3.4414292476604844 -76.52470260858536,3.441260573200465 -76.52466237545013,3.441102608202901 -76.52453899383545,3.4408884183338557 -76.52442634105682,3.4407465175191083 -76.52427613735199,3.4406420999249456 -76.52351975440979,3.440211042556162 -76.52336418628693,3.44007181901651 -76.52303695678711,3.4399245633274482 -76.52276068925858,3.439849596787592
Sucre-S00046;-76.52644336223602,3.444221742713588 -76.52656674385071,3.4446394114516417
S00046-S00047;-76.52656674385071,3.4446394114516417 -76.52673304080963,3.4451989801790504 -76.52684569358826,3.445622003209135 -76.5268886089325,3.445836192013419
S00047-S00048;-76.5268886089325,3.445836192013419 -76.52717292308807,3.44697674658425 -76.52743309736252,3.4477665664363673
S00048-Petecuy;-76.52743309736252,3.4477665664363673 -76.52789980173111,3.4490891785503095
Petecuy-S00049;-76.52789980173111,3.4490891785503095 -76.5281867980957,3.450034282840401
S00049-S00050;-76.5281867980957,3.450034282840401 -76.52862668037415,3.4512016058221247
S00050-S00051;-76.52862668037415,3.4512016058221247 -76.52896463871002,3.452015518245157
S00051-S00052;-76.52896463871002,3.452015518245157 -76.52932941913605,3.452821397950555
S00052-S00053;-76.52932941913605,3.452821397950555 -76.52965396642685,3.4535978262557294
S00053-San Pedro;-76.52965396642685,3.4535978262557294 -76.53006702661514,3.454425123302833
San Pedro-S00054;-76.53006702661514,3.454425123302833 -76.53041571378708,3.4551694222953824
Torre de Cali-S00055;-76.53022527694702,3.4568240129283696 -76.5298068523407,3.457375542497928
S00058-S00059;-76.5267276763916,3.4615548410905874 -76.52595520019531,3.4625856069678 -76.52561455965042,3.4630487819187126
S00060-Prados del Norte;-76.52457118034363,3.4644998834769907 -76.5241527557373,3.465008571688503 -76.52402937412262,3.4652120468965273 -76.52381479740143,3.465257561081816 -76.52362167835236,3.465335202922241 -76.52352780103683,3.465466390845043 -76.52344465255737,3.4656056106615893 -76.52346074581146,3.4658519225945206 -76.523557305336,3.466044688410343 -76.52370750904083,3.466264227208304 -76.52381479740143,3.4664944751611726 -76.5238469839096,3.466762205268453 -76.52378797531128,3.4669335524973195 -76.52302086353302,3.4685667042143518 -76.52264535427094,3.469236027873447 -76.52171730995178,3.4707353111496246 -76.52155101299286,3.4708424027211815 -76.52127742767334,3.470986976323503 -76.52114868164062,3.4711422590569163 -76.52105748653412,3.4713243146428923 -76.52107894420624,3.47154920678887 -76.52105212211609,3.4717312622964136 -76.52082681655884,3.472202464623537 -76.51971101760864,3.4739748258163816 -76.51951789855957,3.4744540588603923
Prados del Norte-S00061;-76.51951789855957,3.4744540588603923 -76.51935964822769,3.47471375487754
S00061-S00062;-76.51935964822769,3.47471375487754 -76.5191638469696,3.475132748816347 -76.5188929438591,3.4755517425691047 -76.51838332414627,3.4763843749695367 -76.51786029338837,3.477227715719064 -76.51762560009956,3.477547649552108 -76.5174438804388,3.4777745481670617 -76.51732116937637,3.478006801265045
S00062-Vipasa;-76.51732116937637,3.478006801265045 -76.51693493127823,3.4785904456853105
Vipasa-S00063;-76.51693493127823,3.4785904456853105 -76.51661574840546,3.479149994354322 -76.51652187108994,3.4793534665152226 -76.51600152254105,3.480170031982167
S00063-S00064;-76.51600152254105,3.480170031982167 -76.51581913232803,3.4804966579707757 -76.51547580957413,3.4810267556456957 -76.5152558684349,3.4813694448929158 -76.51407837867737,3.483334551136975 -76.51379942893982,3.4837200755863797
S00064-Alamos;-76.51379942893982,3.4837200755863797 -76.51324689388275,3.484504510263204
Alamos-S00065;-76.51324689388275,3.484504510263204 -76.51273727416992,3.4853826479652157
S00065-Menga;-76.51273727416992,3.4853826479652157 -76.51241272687912,3.4858002985358647 -76.51230275630951,3.4861081818506223 -76.5120479464531,3.4866463080978325 -76.51179850101471,3.4870666353503648 -76.51151418685913,3.487511057591364 -76.51115745306015,3.4880946961188375 -76.51088386774063,3.4885792764557504 -76.51041179895401,3.489650171341737 -76.51034474372864,3.4897385201153246 -76.50995314121246,3.489684975405051 -76.5093469619751,3.4895216640198465 -76.5084832906723,3.4893342574772745
S00091-San Nicolas;-76.52612686157227,3.458277801345034 -76.52567088603973,3.4585107285637577
San Nicolas-S00092;-76.52567088603973,3.4585107285637577 -76.52500301599503,3.4588480713307836 -76.52442902326584,3.45913454485614 -76.52410447597504,3.45928447489098
S00092-S00093;-76.52410447597504,3.45928447489098 -76.52284651994705,3.459862776231738
S00093-Piloto;-76.52284651994705,3.459862776231738 -76.52244418859482,3.460074284504345
Piloto-Fatima;-76.52244418859482,3.460074284504345 -76.5193247795105,3.461632483234691 -76.51795148849487,3.4624196135776466 -76.5173077583313,3.462853338180934
Fatima-S00094;-76.5173077583313,3.462853338180934 -76.51525050401688,3.464349954267759
S00094-Manzanares;-76.51525050401688,3.464349954267759 -76.5140837430954,3.465225433421845 -76.51361837983131,3.4657234120288205 -76.51324421167374,3.4662240676758866
Manzanares-S00095;-76.51324421167374,3.4662240676758866 -76.51304841041565,3.466478411352325
S00095-Popular;-76.51304841041565,3.466478411352325 -76.51222229003906,3.4675546859417783 -76.51084899902344,3.469343119614909
Popular-S00096;-76.51084899902344,3.469343119614909 -76.51081413030624,3.46941272924038 -76.51030719280243,3.470052602095657
S00096-Salomia;-76.51030719280243,3.470052602095657 -76.50950253009796,3.470997685478347 -76.50810241699219,3.472352392587391 -76.50664865970612,3.473739225124496
Salomia-S00097;-76.50664865970612,3.473739225124496 -76.50633484125137,3.474063176060645
S00097-S00098;-76.50633484125137,3.474063176060645 -76.50469064712524,3.4756347381147226
S00098-Flora Industrial;-76.50469064712524,3.4756347381147226 -76.50448143482208,3.475682929073316 -76.50426149368286,3.475854274683916 -76.50410592556,3.476014911165587 -76.50409519672394,3.4762879931216344 -76.50357484817505,3.4768984113257417 -76.50280237197876,3.477733719806818 -76.50218814611435,3.4782477554273608
Flora Industrial-S00099;-76.50218814611435,3.4782477554273608 -76.501944065094,3.478443195980361
S00099-S00100;-76.501944065094,3.478443195980361 -76.49939060211182,3.480287831532093 -76.4986503124237,3.4809491150958
S00100-Chiminangos;-76.4986503124237,3.4809491150958 -76.498162150383,3.481457794444251
Fatima-Rio Cali;-76.5173077583313,3.462853338180934 -76.51999533176422,3.4613433331485037 -76.52035474777222,3.4611612756415235 -76.52076780796051,3.4610541829740495 -76.52088850736618,3.4610059912697304 -76.52101457118988,3.4610006366357515 -76.52116477489471,3.4610140232205837 -76.52134984731674,3.461121115892625 -76.52147691696882,3.4611964154204244 -76.52153961360455,3.46131455200083 -76.52162745594978,3.4615668890099145 -76.52168478816748,3.461721169296676 -76.52179040014744,3.4618593856710564 -76.52190137654543,3.461909250653489 -76.52201771736145,3.461921633232612 -76.52256488800049,3.4619269878613745 -76.52375042438507,3.461996598032463 -76.52423322200775,3.4618948600883668 -76.52453899383545,3.4613326238843634 -76.52478575706482,3.4608667707768075 -76.52523100376129,3.460422335989372
Rio Cali-S00101;-76.52523100376129,3.460422335989372 -76.52610540390015,3.4598440349901165 -76.52665257453918,3.459442436866305 -76.5269261598587,3.4591318675338836 -76.52718365192413,3.458708850520849 -76.52748942375183,3.45823228682435 -76.52771472930908,3.457980618258766 -76.52791321277618,3.457793205453771 -76.52917385101318,3.457541536771652 -76.52949571609497,3.457517440830481
S00101-Torre de Cali;-76.52949571609497,3.457517440830481 -76.5295198559761,3.457520118157305 -76.5298068523407,3.4574210570597432 -76.53002679347992,3.457180097590036 -76.53017163276672,3.4569391380591226 -76.53022527694702,3.4568240129283696
S00066-Ermita;-76.53179973363876,3.4541306163460623 -76.53162002563477,3.453458604675299
Ermita-S00067;-76.53162002563477,3.453458604675299 -76.53147786855698,3.45288297677035
S00067-Plaza de Caycedo;-76.53147786855698,3.45288297677035 -76.53134375810623,3.4524813756997803
Plaza de Caycedo-S00068;-76.53134375810623,3.4524813756997803 -76.53122574090958,3.4521011931964853
S00068-S00069;-76.53122574090958,3.4521011931964853 -76.53098165988922,3.451241765990933
S00069-S00070;-76.53098165988922,3.451241765990933 -76.53074026107788,3.4504519490261356
S00070-S00071;-76.53074026107788,3.4504519490261356 -76.53072416782379,3.4504198208645023 -76.5304559469223,3.44950952250069
S00071-Centro;-76.5304559469223,3.44950952250069 -76.53019577264786,3.448609932672926
Centro-S00072;-76.53019577264786,3.448609932672926 -76.52994096279144,3.4478683058950566
S00072-Santa Rosa;-76.52994096279144,3.4478683058950566 -76.52980417013168,3.447319448159962
Santa Rosa-S00073;-76.52980417013168,3.447319448159962 -76.52936428785324,3.4456594862533643
S00073-S00074;-76.52936428785324,3.4456594862533643 -76.52908533811569,3.4446233472727936
S00074-Fray Damian;-76.52908533811569,3.4446233472727936 -76.52885735034943,3.4435711429677527
Fray Damian-S00075;-76.52885735034943,3.4435711429677527 -76.52870446443558,3.4428455764719024
Cien Palos-S00077;-76.52276068925858,3.4398495967868667 -76.52239322662354,3.4397130505706284
S00077-S00078;-76.52239322662354,3.4397130505706284 -76.52132034301758,3.439182929784704
S00078-S00079;-76.52132034301758,3.439182929784704 -76.52126133441925,3.4391668655131498 -76.51998728513718,3.4387117110595566
S00079-S00080;-76.51998728513718,3.4387117110595566 -76.51903510093689,3.4382592337697524
S00080-Primitivo;-76.51903510093689,3.4382592337697524 -76.51833236217499,3.437820143176761 -76.5177047252655,3.4373971166825563
Primitivo-S00081;-76.5177047252655,3.4373971166825563 -76.5162268280983,3.4363770330357366
S00081-S00082;-76.5162268280983,3.4363770330357366 -76.51452630758286,3.4350651128316962
S00082-Santa Monica;-76.51452630758286,3.4350651128316962 -76.51394426822662,3.434749180758482
Santa Monica-S00083;-76.51394426822662,3.434749180758482 -76.51386648416519,3.4346447625073186 -76.51291966438293,3.4338763509263717
S00083-Villanueva;-76.51291966438293,3.4338763509263717 -76.5114176273346,3.4326795553509895 -76.5106987953186,3.4323207841257233 -76.51027500629425,3.432144075861122
Villanueva-S00084;-76.51027500629425,3.432144075861122 -76.50993436574936,3.432002173745553
S00084-S00085;-76.50993436574936,3.432002173745553 -76.5095454454422,3.4318870455988453 -76.50901973247528,3.431640724866286 -76.50856912136078,3.431314082057784 -76.50814533233643,3.430842859448785 -76.50743186473846,3.430028928940572
S00085-Conquistadores;-76.50743186473846,3.430028928940572 -76.50646090507507,3.4286580970445266 -76.50613903999329,3.4281011960254224 -76.50583863258362,3.4275871332584384 -76.50538802146912,3.4271801667053485
Conquistadores-S00086;-76.50538802146912,3.4271801667053485 -76.50520026683807,3.4269365221729458
S00086-S00087;-76.50520026683807,3.4269365221729458 -76.50470674037933,3.426526877929164 -76.50426149368286,3.4260556529612622 -76.50375187397003,3.4254023634174318 -76.50335490703583,3.424941847569439 -76.50303035974503,3.4247196218193543 -76.50285601615906,3.42461520247319 -76.50262266397476,3.4247892347104663 -76.50226324796677,3.4251132023294515 -76.4987576007843,3.4281868731263856 -76.49842500686646,3.4282190020372814 -76.4978563785553,3.42798338999906 -76.4971911907196,3.4273515210645855 -76.49609684944153,3.426173459224996 -76.4950481057167,3.4252684925542285
S00087-Troncal Unida;-76.4950481057167,3.4252684925542285 -76.49444729089737,3.424773170197622
Troncal Unida-S00088;-76.49444729089737,3.424773170197622 -76.4931732416153,3.423635266515852
S00088-S00089;-76.4931732416153,3.423635266515852 -76.49133324623108,3.422039521663739
S00089-Amanecer;-76.49133324623108,3.422039521663739 -76.49084508419037,3.421616488186869
Amanecer-S00090;-76.49084508419037,3.421616488186869 -76.49053126573563,3.4213407130980658
S00090-Nuevo Latir;-76.49053126573563,3.4213407130980658 -76.48960590362549,3.420443774154044 -76.4884901046753,3.4196512542693145 -76.4876639842987,3.4190300895774066 -76.4868512749672,3.4184892475784303
Lido-S00102;-76.54837310314178,3.41882124963372 -76.54833555221558,3.4164169095713053 -76.54840528964996,3.4157582585698325
S00102-Unidad Deportiva;-76.54840528964996,3.4157582585698325 -76.54839992523193,3.4157207743529066 -76.54845356941223,3.4148666692991423
S00043-Univalle;-76.53731167316437,3.3710787150807193 -76.53700321912766,3.370934126407721 -76.5367403626442,3.370835056378627
S00009-El Trebol;-76.49541825056076,3.4435202730100505 -76.49593591690063,3.4435925618965038
S00018-S00019;-76.52331590652466,3.4433408894533026 -76.52578085660934,3.442596581200161
S00044-S00045;-76.53732240200043,3.3709421591123405 -76.53694152832031,3.3706422714282445 -76.5361475944519,3.370537846230826 -76.52990877628326,3.3673890196300404
S00018-Sucre;-76.52331590652466,3.4433408894533026 -76.52568697929382,3.4426661927880593 -76.52584791183472,3.4427679327919973 -76.52596592903137,3.4429981864449797 -76.52628779411316,3.4438924268483486 -76.52644336223602,3.4442217427134607
S00018-S00076;-76.52331590652466,3.4433408894533026 -76.52523100376129,3.4427277722654277 -76.52527123689651,3.4425537432973803 -76.52529269456863,3.4424171974694238 -76.52519077062607,3.442259232663634 -76.52490109205246,3.4419031424121425 -76.52474015951157,3.4414292476604715
S00054-S00066;-76.53041571378708,3.4551694222953824 -76.53059542179108,3.455678115515594 -76.53067588806152,3.455753080809207 -76.53077781200409,3.455774499463438 -76.5308529138565,3.4557691447999312 -76.53092801570892,3.455694179507603 -76.5314108133316,3.4551051662902728 -76.53174340724945,3.4544518966580124 -76.5317702293396,3.4543073205310937 -76.53179973363876,3.4541306163460623
S00075-S00021;-76.52870446443558,3.4428455764719024 -76.52894854545593,3.4427679327919973 -76.53069466352463,3.4426447738384947
S00075-S00020;-76.52870446443558,3.4428455764719024 -76.52843087911606,3.4427599006868235
Torre de Cali-S00066;-76.53022527694702,3.4568240129283185 -76.5316790342331,3.454730339507065 -76.53183460235596,3.454264483155916 -76.53179973363876,3.4541306163460623
S00055-S00091;-76.5298068523407,3.457375542497928 -76.52964055538177,3.4574451530033437 -76.5293401479721,3.457504054196236 -76.52895390987396,3.457541536771652 -76.52791321277618,3.4577503682359927 -76.52774691581726,3.4577450135836303 -76.52747333049774,3.4576646937946474 -76.52709782123566,3.457771786845111 -76.5266740322113,3.4579859729097926 -76.52612686157227,3.458277801345034
S00057-Versalles;-76.52755111455917,3.4604383999010278 -76.52696639299393,3.461201435388743
S00056-S00057;-76.52937233448029,3.457919039769787 -76.52755111455917,3.4604383999010278
S00055-S00056;-76.5298068523407,3.457375542497928 -76.5296083688736,3.4576419365198463 -76.52937233448029,3.457919039769787
Las Americas-S00060;-76.52523100376129,3.4635735347684204 -76.52457118034363,3.4644998834769907
Versalles-S00058;-76.52696639299393,3.461201435388743 -76.5267276763916,3.4615548410905874
S00059-Las Americas;-76.52561455965042,3.4630487819187126 -76.52523100376129,3.4635735347684715
