Andres Sanin;-76.48313641548157;3.443691624435684;true
7 de Agosto;-76.48716509342194;3.4453167840797336;true
El Trebol;-76.49593591690063;3.4435925618965038;true
Villa Colombia;-76.49889975786209;3.443927232595575;true
Chapinero;-76.50227665901184;3.444352933554817;true
Atanasio Girardot;-76.5083384513855;3.44489376091398;true
Floresta;-76.51463896036148;3.4453194614409455;true
Belalcazar;-76.52075976133347;3.4442003237988565;true
San Pascual;-76.52748137712479;3.4427197401599106;true
San Bosco;-76.5326526761055;3.442294038470554;true
Santa Librada;-76.53733044862747;3.4395229567871004;true
Manzana del Saber;-76.54103457927704;3.434936598102485;true
Estadio;-76.54322326183319;3.4318415298160914;true
Tequendama;-76.54705345630646;3.4235147825174583;true
Lido;-76.54837310314178;3.41882124963372;true
Unidad Deportiva;-76.54845356941223;3.4148666692991423;true
Plaza de Toros;-76.54748529195786;3.4096938287333036;true
Pampalinda;-76.54684960842133;3.4038248165109275;true
Refugio;-76.54651165008545;3.3986760140244;true
Caldas;-76.54594033956528;3.3940573300663406;true
Capri;-76.54505789279938;3.388038281548637;true
Melendez;-76.54285579919815;3.3771166117624687;true
Buitrera;-76.5401628613472;3.3726183153582583;true
Univalle;-76.5367403626442;3.370835056378627;true
Universidades;-76.52918457984924;3.366987382851612;true
Sucre;-76.52644336223602;3.4442217427134607;true
Petecuy;-76.52789980173111;3.4490891785502202;true
San Pedro;-76.53006702661514;3.454425123302833;true
Torre de Cali;-76.53022527694702;3.4568240129283185;true
Versalles;-76.52696639299393;3.461201435388743;true
Las Americas;-76.52523100376129;3.4635735347684715;true
Prados del Norte;-76.51951789855957;3.4744540588603923;true
Vipasa;-76.51693493127823;3.4785904456853105;true
Alamos;-76.51324689388275;3.484504510263204;true
Menga;-76.5084832906723;3.4893342574772745;true
Ermita;-76.53162002563477;3.453458604675299;true
Plaza de Caycedo;-76.53134375810623;3.4524813756997803;true
Centro;-76.53019577264786;3.448609932672926;true
Santa Rosa;-76.52980417013168;3.447319448159962;true
Fray Damian;-76.52885735034943;3.4435711429677527;true
Cien Palos;-76.52276068925858;3.4398495967868667;true
Primitivo;-76.5177047252655;3.4373971166825563;true
Santa Monica;-76.51394426822662;3.4347491807580366;true
Villanueva;-76.51027500629425;3.4321440758607653;true
Conquistadores;-76.50538802146912;3.4271801667053485;true
Troncal Unida;-76.49444729089737;3.424773170197622;true
Nuevo Latir;-76.4868512749672;3.418489247578367;true
Amanecer;-76.49084508419037;3.4216164881867925;true
San Nicolas;-76.52567088603973;3.4585107285637577;true
Piloto;-76.52244418859482;3.460074284504345;true
Rio Cali;-76.52523100376129;3.4604223359894233;true
Fatima;-76.5173077583313;3.462853338180934;true
Manzanares;-76.51324421167374;3.4662240676758866;true
Popular;-76.51084899902344;3.469343119614909;true
Salomia;-76.50664865970612;3.473739225124496;true
Flora Industrial;-76.50218814611435;3.4782477554273608;true
Chiminangos;-76.498162150383;3.481457794444251;true
